Year,Series,Sex,Units,Observation status,Unit multiplier,Value
2011,Proportion of children under 5 years of age whose births have been registered with a civil authority,Female,Percentage (%),Estimated value,Units,100.0
2011,Proportion of children under 5 years of age whose births have been registered with a civil authority,Male,Percentage (%),Estimated value,Units,100.0
2011,Proportion of children under 5 years of age whose births have been registered with a civil authority,,Percentage (%),Estimated value,Units,100.0
2012,Proportion of children under 5 years of age whose births have been registered with a civil authority,Female,Percentage (%),Estimated value,Units,100.0
2012,Proportion of children under 5 years of age whose births have been registered with a civil authority,Male,Percentage (%),Estimated value,Units,100.0
2012,Proportion of children under 5 years of age whose births have been registered with a civil authority,,Percentage (%),Estimated value,Units,100.0
2013,Proportion of children under 5 years of age whose births have been registered with a civil authority,Female,Percentage (%),Estimated value,Units,100.0
2013,Proportion of children under 5 years of age whose births have been registered with a civil authority,Male,Percentage (%),Estimated value,Units,100.0
2013,Proportion of children under 5 years of age whose births have been registered with a civil authority,,Percentage (%),Estimated value,Units,100.0
2014,Proportion of children under 5 years of age whose births have been registered with a civil authority,Female,Percentage (%),Estimated value,Units,100.0
2014,Proportion of children under 5 years of age whose births have been registered with a civil authority,Male,Percentage (%),Estimated value,Units,100.0
2014,Proportion of children under 5 years of age whose births have been registered with a civil authority,,Percentage (%),Estimated value,Units,100.0
2015,Proportion of children under 5 years of age whose births have been registered with a civil authority,Female,Percentage (%),Estimated value,Units,100.0
2015,Proportion of children under 5 years of age whose births have been registered with a civil authority,Male,Percentage (%),Estimated value,Units,100.0
2015,Proportion of children under 5 years of age whose births have been registered with a civil authority,,Percentage (%),Estimated value,Units,100.0
2016,Proportion of children under 5 years of age whose births have been registered with a civil authority,Female,Percentage (%),Estimated value,Units,100.0
2016,Proportion of children under 5 years of age whose births have been registered with a civil authority,Male,Percentage (%),Estimated value,Units,100.0
2016,Proportion of children under 5 years of age whose births have been registered with a civil authority,,Percentage (%),Estimated value,Units,100.0
2017,Proportion of children under 5 years of age whose births have been registered with a civil authority,Female,Percentage (%),Estimated value,Units,100.0
2017,Proportion of children under 5 years of age whose births have been registered with a civil authority,Male,Percentage (%),Estimated value,Units,100.0
2017,Proportion of children under 5 years of age whose births have been registered with a civil authority,,Percentage (%),Estimated value,Units,100.0
2018,Proportion of children under 5 years of age whose births have been registered with a civil authority,Female,Percentage (%),Estimated value,Units,100.0
2018,Proportion of children under 5 years of age whose births have been registered with a civil authority,Male,Percentage (%),Estimated value,Units,100.0
2018,Proportion of children under 5 years of age whose births have been registered with a civil authority,,Percentage (%),Estimated value,Units,100.0
2019,Proportion of children under 5 years of age whose births have been registered with a civil authority,Female,Percentage (%),Estimated value,Units,100.0
2019,Proportion of children under 5 years of age whose births have been registered with a civil authority,Male,Percentage (%),Estimated value,Units,100.0
2019,Proportion of children under 5 years of age whose births have been registered with a civil authority,,Percentage (%),Estimated value,Units,100.0
2020,Proportion of children under 5 years of age whose births have been registered with a civil authority,Female,Percentage (%),Estimated value,Units,100.0
2020,Proportion of children under 5 years of age whose births have been registered with a civil authority,Male,Percentage (%),Estimated value,Units,100.0
2020,Proportion of children under 5 years of age whose births have been registered with a civil authority,,Percentage (%),Estimated value,Units,100.0
